epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;1.3751236200332642;1.3751236200332642;1.055394172668457;1.055394172668457
1;1.312942385673523;1.312942385673523;1.03424870967865;1.03424870967865
2;1.2780168056488037;1.2780168056488037;1.0260183811187744;1.0260183811187744
3;1.2598987817764282;1.2598987817764282;1.0218437910079956;1.0218437910079956
4;1.2485703229904175;1.2485703229904175;1.0208126306533813;1.0208126306533813
5;1.2397865056991577;1.2397865056991577;1.0190761089324951;1.0190761089324951
6;1.2324663400650024;1.2324663400650024;1.019391655921936;1.019391655921936
7;1.2264281511306763;1.2264281511306763;1.0178747177124023;1.0178747177124023
8;1.2220457792282104;1.2220457792282104;1.0177721977233887;1.0177721977233887
9;1.2171577215194702;1.2171577215194702;1.0173062086105347;1.0173062086105347
10;1.2132179737091064;1.2132179737091064;1.0160905122756958;1.0160905122756958
11;1.2097316980361938;1.2097316980361938;1.0159322023391724;1.0159322023391724
12;1.206323266029358;1.206323266029358;1.015793800354004;1.015793800354004
13;1.2030673027038574;1.2030673027038574;1.0149043798446655;1.0149043798446655
14;1.2000665664672852;1.2000665664672852;1.013401985168457;1.013401985168457
15;1.1973172426223755;1.1973172426223755;1.0143071413040161;1.0143071413040161
16;1.1944077014923096;1.1944077014923096;1.013866901397705;1.013866901397705
17;1.191421627998352;1.191421627998352;1.0123356580734253;1.0123356580734253
18;1.1877003908157349;1.1877003908157349;1.0114673376083374;1.0114673376083374
19;1.1852366924285889;1.1852366924285889;1.00946843624115;1.00946843624115
20;1.182241678237915;1.182241678237915;1.0082976818084717;1.0082976818084717
21;1.1793763637542725;1.1793763637542725;1.0081664323806763;1.0081664323806763
22;1.1767866611480713;1.1767866611480713;1.0074104070663452;1.0074104070663452
23;1.1732532978057861;1.1732532978057861;1.0071600675582886;1.0071600675582886
24;1.1707555055618286;1.1707555055618286;1.0087839365005493;1.0087839365005493
25;1.1679939031600952;1.1679939031600952;1.007106065750122;1.007106065750122
26;1.165329933166504;1.165329933166504;1.0089906454086304;1.0089906454086304
27;1.1626890897750854;1.1626890897750854;1.0109038352966309;1.0109038352966309
28;1.1598598957061768;1.1598598957061768;1.0114613771438599;1.0114613771438599
29;1.1552237272262573;1.1552237272262573;1.012537956237793;1.012537956237793
30;1.152117133140564;1.152117133140564;1.0130659341812134;1.0130659341812134
31;1.1483477354049683;1.1483477354049683;1.0145938396453857;1.0145938396453857
