epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;1.6435855627059937;1.6435855627059937;1.2371704578399658;1.2371704578399658
1;1.498271107673645;1.498271107673645;1.233782172203064;1.233782172203064
2;1.455696702003479;1.455696702003479;1.2405774593353271;1.2405774593353271
3;1.4294064044952393;1.4294064044952393;1.2469862699508667;1.2469862699508667
4;1.4109691381454468;1.4109691381454468;1.2455629110336304;1.2455629110336304
5;1.3962260484695435;1.3962260484695435;1.2425498962402344;1.2425498962402344
6;1.3834308385849;1.3834308385849;1.2406398057937622;1.2406398057937622
7;1.3722105026245117;1.3722105026245117;1.2407066822052002;1.2407066822052002
8;1.3625136613845825;1.3625136613845825;1.242842435836792;1.242842435836792
